"filename", "language", "JSON", "Rust", "Groovy", "Java Properties", "Batch", "XML", "TOML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\package-lock.json", "JSON", 755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 756
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\.cargo\config.toml", "TOML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 3566, 0, 0, 0, 0, 2, 386, 3954
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 6, 35
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\build.rs", "Rust", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 1, 17
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\akolt\OneDrive\Documents\GitHub\TigerAnalyzerRewrite\src-tauri\gen\android\tiger-analyzer\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
